iso3,year,tau_tamar,tau_mitchell,rgdp,gdp_deflator,cpi_gmd,unemployment_rate_pct,imports,exports,customs_revenue,ind_prod,ind_prod_base
DEU,1988,1.5321013525538352,1.4318181818181819,1953722.0,64.84508,59.83916,7.735,440000.0,568000.0,6300.0,,
ESP,1845,,,,,0.1055667,,152.0,152.0,,16.5,1913=100
ESP,1846,,,,,0.1176702,,172.0,169.0,,16.8,1913=100
ESP,1847,,,,,0.1467274,,165.0,195.0,,15.5,1913=100
ESP,1848,,,,,0.114886,,170.0,129.0,,16.6,1913=100
ESP,1849,,,,,0.1155099,,153.0,137.0,,19.0,1913=100
ESP,1850,24.137931034482758,24.137931034482758,28031.75,0.1431501,0.1071646,,174.0,164.0,42.0,20.7,1913=100
ESP,1851,23.668639053254438,23.668639053254438,28495.98,0.140818,0.1071646,,169.0,145.0,40.0,23.1,1913=100
ESP,1852,23.24324324324324,23.243243243243242,29799.69,0.1346573,0.1071646,,185.0,136.0,43.0,23.7,1913=100
ESP,1853,20.83333333333333,20.833333333333332,30018.91,0.1593805,0.1169068,,192.0,188.0,40.0,23.6,1913=100
ESP,1854,17.67441860465116,17.674418604651162,30537.3,0.1617289,0.1266491,,215.0,131.0,38.0,23.3,1913=100
ESP,1855,17.120622568093392,17.120622568093385,31985.44,0.1640571,0.1266491,,257.0,323.0,44.0,24.8,1913=100
ESP,1856,14.75903614457831,14.759036144578314,30628.86,0.1713233,0.1363913,,332.0,323.0,49.0,26.9,1913=100
ESP,1857,14.09574468085106,14.095744680851064,30018.91,0.1645218,0.1363913,,376.0,336.0,53.0,27.8,1913=100
ESP,1858,13.94736842105263,13.947368421052632,30659.81,0.1610827,0.1169068,,380.0,204.0,53.0,28.6,1913=100
ESP,1859,17.66561514195584,17.665615141955836,32252.38,0.1626993,0.1266491,,317.0,247.0,56.0,29.7,1913=100
ESP,1860,15.733333333333329,15.733333333333333,33602.51,0.1653481,0.1266491,,375.0,272.0,59.0,31.2,1913=100
ESP,1861,14.537444933920701,14.537444933920705,33906.84,0.1684158,0.1363913,,454.0,305.0,66.0,32.4,1913=100
ESP,1862,20.47413793103448,20.474137931034484,34218.91,0.1713902,0.1266491,,464.0,246.0,95.0,31.0,1913=100
ESP,1863,10.61946902654867,10.619469026548673,34938.46,0.1766952,0.1363913,,565.0,295.0,60.0,32.0,1913=100
ESP,1864,10.38732394366197,10.387323943661972,34886.88,0.1769564,0.1363913,,568.0,321.0,59.0,32.1,1913=100
ESP,1865,12.07627118644068,12.076271186440678,33543.19,0.1702416,0.1363913,,472.0,261.0,57.0,33.2,1913=100
ESP,1866,12.44131455399061,12.44131455399061,35713.47,0.1728608,0.1363913,,426.0,296.0,53.0,32.6,1913=100
ESP,1867,15.041782729805009,15.041782729805014,35362.72,0.1833041,0.1363913,,359.0,381.0,54.0,35.0,1913=100
ESP,1868,9.821428571428571,9.821428571428571,30974.46,0.1793772,0.1461335,,448.0,390.0,44.0,31.6,1913=100
ESP,1869,13.24675324675325,13.246753246753247,32034.45,0.1589883,0.1363913,,385.0,434.0,51.0,32.8,1913=100
ESP,1870,13.19796954314721,13.197969543147208,32952.59,0.1686092,0.1363913,,394.0,337.0,52.0,35.0,1913=100
ESP,1871,12.28070175438596,12.280701754385966,35574.2,0.169199,0.1367261,,456.0,439.0,56.0,38.8,1913=100
ESP,1872,8.803986710963455,8.803986710963455,41120.46,0.1651441,0.1407915,,602.0,496.0,53.0,41.5,1913=100
ESP,1873,14.975845410628018,14.97584541062802,44537.7,0.162869,0.1517602,,414.0,585.0,62.0,46.8,1913=100
ESP,1874,12.68939393939394,12.68939393939394,40743.92,0.1780342,0.1499268,,528.0,508.0,67.0,44.0,1913=100
ESP,1875,15.062761506276152,15.06276150627615,41957.36,0.1692069,0.1466904,,478.0,538.0,72.0,45.9,1913=100
